codigo_ibge, anomes_s, qtd_cestas_alim_entr_fam_indigenas, qtd_cestas_alim_entr_fam_quilombolas, qtd_cestas_alim_entr_fam_extrativistas, qtd_cestas_alim_entr_fam_pescadores, qtd_cestas_alim_entr_fam_atend_emergencial, qtd_cestas_alim_entr_fam_assentados, qtd_cestas_alim_entr_fam_catadores, qtd_cestas_alim_entr_fam_ciganas, qtd_cestas_alim_entr_fam_rural, qtd_total_cestas_alim_entr
         17,   202502,                               1224,                                     ,                                       ,                                    ,                                           ,                                   0,                                  0,                                0,                              0,                     1224.0
         17,   202501,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         21,   202508,                                528,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      528.0
         21,   202507,                                528,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      528.0
         21,   202503,                                352,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      352.0
         21,   202502,                                554,                                     ,                                       ,                                    ,                                           ,                                   0,                                  0,                                0,                              0,                      554.0
         21,   202501,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         22,   202512,                                   ,                                     ,                                       ,                                    ,                                      35362,                                    ,                                   ,                                 ,                               ,                    35362.0
         22,   202511,                                   ,                                     ,                                       ,                                    ,                                      10692,                                    ,                                   ,                                 ,                               ,                    10692.0
         22,   202507,                                720,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      720.0
         22,   202506,                                655,                                 1001,                                       ,                                    ,                                       9609,                                    ,                                   ,                                 ,                               ,                    11265.0
         22,   202505,                                   ,                                     ,                                       ,                                    ,                                      13206,                                    ,                                   ,                                 ,                               ,                    13206.0
         22,   202504,                                   ,                                     ,                                       ,                                    ,                                      19826,                                    ,                                   ,                                 ,                               ,                    19826.0
         22,   202503,                                   ,                                     ,                                       ,                                    ,                                       3200,                                    ,                                   ,                                 ,                               ,                     3200.0
         22,   202502,                                   ,                                     ,                                       ,                                    ,                                       2500,                                   0,                                  0,                                0,                              0,                     2500.0
         22,   202501,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         23,   202505,                                   ,                                     ,                                       ,                                    ,                                       2000,                                    ,                                   ,                                 ,                               ,                     2000.0
         23,   202504,                                240,                                     ,                                       ,                                    ,                                        240,                                    ,                                   ,                                 ,                               ,                      480.0
         23,   202502,                                   ,                                     ,                                       ,                                    ,                                       3450,                                   0,                                  0,                                0,                              0,                     3450.0
         23,   202501,                                   ,                                     ,                                       ,                                    ,                                           ,                                    ,                                  0,                             1266,                              0,                     1266.0
         24,   202512,                                   ,                                     ,                                       ,                                    ,                                      22663,                                    ,                                   ,                                 ,                               ,                    22663.0
         24,   202511,                                   ,                                  777,                                       ,                                    ,                                           ,                                    ,                                   ,                               42,                               ,                      819.0
         24,   202508,                                936,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      936.0
         24,   202507,                                   ,                                  625,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      625.0
         24,   202506,                                   ,                                  625,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      625.0
         24,   202505,                                   ,                                  625,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      625.0
         24,   202502,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         24,   202501,                                   ,                                  801,                                       ,                                    ,                                           ,                                    ,                                  0,                              402,                              0,                     1203.0
         25,   202502,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         25,   202501,                                   ,                                     ,                                       ,                                    ,                                           ,                                    ,                                  0,                             1800,                              0,                     1800.0
         26,   202512,                                   ,                                  935,                                       ,                                    ,                                      16725,                                    ,                                   ,                                 ,                               ,                    17660.0
         26,   202504,                                   ,                                     ,                                       ,                                 300,                                           ,                                    ,                                   ,                                 ,                               ,                      300.0
         26,   202502,                                   ,                                     ,                                       ,                                 300,                                           ,                                   0,                                  0,                                0,                              0,                      300.0
         26,   202501,                                   ,                                     ,                                       ,                                 300,                                           ,                                    ,                                  0,                                 ,                              0,                      300.0
         27,   202512,                                734,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      734.0
         27,   202510,                                734,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      734.0
         27,   202509,                                734,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      734.0
         27,   202502,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         27,   202501,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         28,   202505,                                   ,                                 1250,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     1250.0
         28,   202502,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         28,   202501,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         29,   202512,                               3000,                                     ,                                       ,                                    ,                                       7734,                                    ,                                   ,                                 ,                               ,                    10734.0
         29,   202511,                                 93,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                       93.0
         29,   202509,                               4510,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     4510.0
         29,   202507,                               4417,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     4417.0
         29,   202506,                               7646,                                     ,                                    600,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     8246.0
         29,   202503,                                   ,                                 1506,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     1506.0
         29,   202502,                                   ,                                 1506,                                       ,                                    ,                                        200,                                   0,                                  0,                                0,                              0,                     1706.0
         29,   202501,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         31,   202510,                               8252,                                  150,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     8402.0
         31,   202509,                               8828,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     8828.0
         31,   202508,                               8252,                                     ,                                    700,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     8952.0
         31,   202507,                               8828,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     8828.0
         31,   202504,                               5504,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     5504.0
         31,   202503,                               2642,                                  310,                                       ,                                    ,                                       1500,                                    ,                                   ,                                 ,                               ,                     4452.0
         31,   202502,                                   ,                                   84,                                       ,                                    ,                                       1500,                                   0,                                  0,                                0,                              0,                     1584.0
         31,   202501,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         32,   202503,                                   ,                                     ,                                       ,                                    ,                                         60,                                    ,                                   ,                                 ,                               ,                       60.0
         32,   202502,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         32,   202501,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         33,   202502,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         33,   202501,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         35,   202504,                                   ,                                     ,                                       ,                                    ,                                        875,                                    ,                                   ,                                 ,                               ,                      875.0
         35,   202502,                                   ,                                     ,                                       ,                                    ,                                        937,                                   0,                                  0,                                0,                              0,                      937.0
